booking_id,customer_id,stylist_id,service_type,booking_date,booking_hour,day_of_week,lead_time_days,duration_mins,price,showed_up,loyalty_tier,location,age,gender,hist_noshow_rate
BK00026,CUST0284,STYLIST03,Bridal Package,2025-06-09,9,0,0,180,12462,1,Bronze,Hyderabad,23,Female,0.09090909090909094
BK00027,CUST0243,STYLIST02,Hair Colour,2025-09-19,15,4,0,90,1565,0,Gold,Hyderabad,43,Female,0.33333333333333337
BK00028,CUST0430,STYLIST05,Waxing,2025-04-23,15,2,2,30,473,0,Bronze,Bangalore,22,Female,0.5384615384615384
BK00029,CUST0441,STYLIST04,Haircut,2025-07-12,19,5,1,30,211,1,Bronze,Nellore,39,Male,0.2222222222222222
BK00030,CUST0389,STYLIST06,Facial,2024-11-13,17,2,7,60,623,1,Bronze,Nellore,54,Male,0.2142857142857143
BK00031,CUST0013,STYLIST06,Pedicure,2024-10-16,16,2,0,45,617,1,Silver,Bangalore,43,Female,0.2857142857142857
BK00032,CUST0158,STYLIST02,Facial,2026-03-22,19,6,0,60,954,1,Gold,Chennai,20,Female,0.11111111111111116
BK00033,CUST0408,STYLIST04,Pedicure,2024-09-30,16,0,2,45,625,1,Bronze,Chennai,25,Female,0.0
BK00034,CUST0359,STYLIST04,Hair Colour,2025-08-18,11,0,2,90,985,1,Bronze,Nellore,40,Female,0.2222222222222222
BK00035,CUST0392,STYLIST09,Facial,2025-10-04,10,5,14,60,1167,1,Bronze,Hyderabad,54,Female,0.0
BK00036,CUST0387,STYLIST07,Waxing,2024-12-01,16,6,3,30,455,1,Silver,Chennai,61,Female,0.11111111111111116
BK00037,CUST0464,STYLIST05,Hair Colour,2025-02-27,18,3,2,90,1361,1,Bronze,Bangalore,56,Male,0.2727272727272727
BK00038,CUST0453,STYLIST07,Pedicure,2025-09-01,18,0,2,45,435,1,Silver,Hyderabad,29,Female,0.5555555555555556
BK00039,CUST0449,STYLIST01,Haircut,2025-10-06,11,0,1,30,346,1,Bronze,Nellore,41,Female,0.09090909090909094
BK00040,CUST0196,STYLIST09,Hair Spa,2024-10-11,10,4,1,60,755,1,Bronze,Nellore,48,Female,0.125
BK00041,CUST0222,STYLIST01,Pedicure,2026-04-11,20,5,1,45,414,1,Bronze,Hyderabad,53,Female,0.08333333333333337
BK00042,CUST0400,STYLIST05,Facial,2025-12-21,17,6,1,60,737,0,Gold,Nellore,33,Female,0.2222222222222222
BK00043,CUST0259,STYLIST06,Hair Colour,2024-08-19,10,0,3,90,1091,1,Silver,Nellore,31,Female,0.0
BK00044,CUST0468,STYLIST10,Haircut,2025-12-08,13,0,1,30,323,1,Bronze,Chennai,27,Male,0.16666666666666663
BK00045,CUST0151,STYLIST02,Manicure,2025-11-04,10,1,7,45,489,0,Bronze,Nellore,29,Female,0.25
BK00046,CUST0211,STYLIST07,Haircut,2024-07-18,11,3,0,30,338,1,Platinum,Nellore,18,Female,0.07692307692307687
BK00047,CUST0245,STYLIST10,Hair Spa,2024-07-28,12,6,7,60,610,0,Silver,Nellore,44,Female,0.08333333333333337
BK00048,CUST0471,STYLIST02,Haircut,2025-06-07,15,5,3,30,299,1,Silver,Hyderabad,48,Male,0.30000000000000004
BK00049,CUST0335,STYLIST01,Haircut,2025-01-07,18,1,3,30,382,1,Bronze,Nellore,30,Female,0.0
BK00050,CUST0391,STYLIST04,Facial,2025-10-09,16,3,0,60,767,1,Bronze,Chennai,35,Female,0.0
BK00051,CUST0270,STYLIST09,Haircut,2026-03-15,18,6,1,30,343,1,Gold,Nellore,37,Female,0.0625
BK00052,CUST0387,STYLIST06,Haircut,2024-11-13,13,2,14,30,338,1,Silver,Chennai,61,Female,0.11111111111111116
BK00053,CUST0099,STYLIST06,Waxing,2025-01-06,10,0,1,30,225,1,Gold,Nellore,36,Male,0.08333333333333337
BK00054,CUST0085,STYLIST04,Hair Spa,2026-01-28,19,2,1,60,555,1,Bronze,Nellore,56,Male,0.36363636363636365
BK00055,CUST0222,STYLIST08,Haircut,2025-01-20,10,0,1,30,320,1,Bronze,Hyderabad,53,Female,0.08333333333333337
BK00056,CUST0425,STYLIST05,Facial,2025-09-16,16,1,0,60,726,1,Silver,Bangalore,19,Female,0.0714285714285714
BK00057,CUST0315,STYLIST09,Manicure,2024-10-16,14,2,2,45,348,1,Silver,Nellore,30,Female,0.2142857142857143
BK00058,CUST0120,STYLIST03,Hair Spa,2024-10-01,12,1,7,60,872,1,Silver,Bangalore,23,Female,0.4444444444444444
BK00059,CUST0288,STYLIST10,Waxing,2025-02-09,13,6,1,30,430,1,Gold,Chennai,56,Male,0.08333333333333337
BK00060,CUST0108,STYLIST06,Haircut,2024-12-05,16,3,0,30,312,1,Silver,Nellore,35,Female,0.1333333333333333
BK00061,CUST0282,STYLIST01,Haircut,2024-06-21,17,4,1,30,269,1,Bronze,Nellore,47,Female,0.0
BK00062,CUST0167,STYLIST04,Facial,2026-04-05,14,6,0,60,837,1,Bronze,Nellore,25,Female,0.18181818181818177
BK00063,CUST0182,STYLIST08,Hair Spa,2025-01-02,12,3,2,60,889,1,Silver,Nellore,44,Male,0.36363636363636365
BK00064,CUST0351,STYLIST05,Haircut,2025-02-03,16,0,1,30,237,1,Silver,Nellore,29,Female,0.1428571428571429
BK00065,CUST0237,STYLIST03,Haircut,2024-12-12,18,3,0,30,365,1,Gold,Nellore,30,Female,0.0
BK00066,CUST0018,STYLIST05,Pedicure,2025-08-12,18,1,1,45,682,1,Bronze,Chennai,23,Other,0.09999999999999998
BK00067,CUST0272,STYLIST05,Hair Spa,2026-04-27,9,0,1,60,728,1,Bronze,Hyderabad,60,Female,0.07692307692307687
BK00068,CUST0308,STYLIST07,Hair Spa,2025-11-19,16,2,2,60,606,0,Bronze,Chennai,62,Female,0.23076923076923073
BK00069,CUST0043,STYLIST07,Pedicure,2025-11-26,19,2,0,45,468,1,Bronze,Hyderabad,20,Female,0.0
BK00070,CUST0161,STYLIST04,Hair Spa,2025-04-18,18,4,2,60,962,1,Bronze,Nellore,19,Female,0.09999999999999998
BK00071,CUST0322,STYLIST06,Haircut,2025-01-25,17,5,0,30,305,0,Bronze,Nellore,34,Female,0.33333333333333337
BK00072,CUST0329,STYLIST05,Hair Colour,2024-12-27,16,4,2,90,1615,1,Silver,Nellore,43,Male,0.2222222222222222
BK00073,CUST0324,STYLIST09,Waxing,2025-08-08,12,4,0,30,362,1,Bronze,Chennai,43,Female,0.0
BK00074,CUST0370,STYLIST08,Manicure,2024-09-09,11,0,3,45,342,1,Bronze,Chennai,54,Male,0.33333333333333337
BK00075,CUST0309,STYLIST08,Haircut,2025-02-26,14,2,3,30,306,1,Bronze,Hyderabad,30,Female,0.125
BK00076,CUST0115,STYLIST05,Haircut,2025-04-11,15,4,2,30,394,1,Bronze,Nellore,18,Female,0.4375
BK00077,CUST0195,STYLIST02,Waxing,2025-02-21,15,4,1,30,485,1,Silver,Chennai,31,Male,0.0
BK00078,CUST0037,STYLIST10,Manicure,2025-05-18,13,6,7,45,529,1,Silver,Hyderabad,33,Female,0.07692307692307687
BK00079,CUST0412,STYLIST09,Manicure,2026-01-04,17,6,1,45,317,1,Gold,Nellore,24,Male,0.0625
BK00080,CUST0283,STYLIST03,Manicure,2025-04-01,10,1,0,45,379,0,Bronze,Chennai,36,Female,0.25
BK00081,CUST0334,STYLIST04,Waxing,2026-04-30,12,3,0,30,352,1,Silver,Bangalore,31,Other,0.16666666666666663
BK00082,CUST0213,STYLIST10,Haircut,2025-10-22,10,2,0,30,289,1,Silver,Nellore,41,Female,0.11111111111111116
BK00083,CUST0191,STYLIST05,Hair Colour,2024-08-01,10,3,3,90,1668,1,Silver,Nellore,28,Female,0.06666666666666665
BK00084,CUST0102,STYLIST03,Manicure,2024-10-07,11,0,3,45,485,1,Bronze,Nellore,34,Male,0.19999999999999996
BK00085,CUST0109,STYLIST06,Hair Colour,2024-08-27,12,1,0,90,1964,1,Silver,Nellore,45,Female,0.0
BK00086,CUST0285,STYLIST07,Haircut,2024-08-31,17,5,0,30,292,0,Silver,Nellore,56,Female,0.36363636363636365
BK00087,CUST0079,STYLIST10,Haircut,2025-02-22,11,5,1,30,344,1,Silver,Chennai,19,Male,0.19999999999999996
BK00088,CUST0207,STYLIST02,Waxing,2025-08-03,11,6,1,30,204,1,Bronze,Nellore,42,Male,0.0
BK00089,CUST0204,STYLIST03,Hair Colour,2026-03-04,16,2,7,90,973,0,Silver,Chennai,27,Male,0.1333333333333333
BK00090,CUST0398,STYLIST09,Waxing,2025-12-23,19,1,2,30,229,0,Platinum,Hyderabad,38,Male,0.09999999999999998
BK00091,CUST0015,STYLIST02,Pedicure,2025-06-05,20,3,0,45,588,0,Bronze,Nellore,24,Female,0.11111111111111116
BK00092,CUST0416,STYLIST07,Facial,2024-10-26,13,5,3,60,600,1,Bronze,Bangalore,45,Female,0.16666666666666663
BK00093,CUST0299,STYLIST08,Waxing,2025-07-05,16,5,1,30,450,1,Gold,Nellore,35,Female,0.07692307692307687
BK00094,CUST0241,STYLIST01,Haircut,2025-07-14,20,0,7,30,396,1,Bronze,Nellore,24,Female,0.23076923076923073
BK00095,CUST0345,STYLIST07,Manicure,2024-07-15,12,0,1,45,395,0,Silver,Nellore,39,Female,0.3076923076923077
BK00096,CUST0128,STYLIST03,Waxing,2024-05-10,17,4,3,30,386,1,Bronze,Hyderabad,61,Male,0.1428571428571429
BK00097,CUST0204,STYLIST04,Haircut,2026-02-11,12,2,0,30,298,1,Silver,Chennai,27,Male,0.1333333333333333
BK00098,CUST0078,STYLIST05,Hair Spa,2025-08-02,18,5,14,60,971,1,Bronze,Nellore,53,Female,0.2857142857142857
BK00099,CUST0264,STYLIST02,Waxing,2024-11-29,15,4,7,30,495,1,Bronze,Bangalore,60,Male,0.2222222222222222
BK00100,CUST0031,STYLIST06,Waxing,2025-06-28,20,5,2,30,333,1,Bronze,Nellore,54,Male,0.36363636363636365
BK00101,CUST0181,STYLIST05,Hair Spa,2024-11-25,11,0,1,60,977,0,Silver,Nellore,60,Female,0.625
BK00102,CUST0119,STYLIST06,Hair Colour,2025-06-25,10,2,2,90,1617,1,Platinum,Hyderabad,21,Male,0.0
BK00103,CUST0342,STYLIST04,Haircut,2025-06-16,10,0,7,30,399,1,Gold,Chennai,50,Female,0.0
BK00104,CUST0061,STYLIST03,Waxing,2024-06-17,16,0,0,30,317,1,Bronze,Bangalore,60,Male,0.19999999999999996
BK00105,CUST0207,STYLIST04,Waxing,2024-11-14,10,3,2,30,499,1,Bronze,Nellore,42,Male,0.0
BK00106,CUST0315,STYLIST09,Haircut,2024-12-12,18,3,7,30,285,1,Silver,Nellore,30,Female,0.2142857142857143
BK00107,CUST0031,STYLIST08,Hair Spa,2025-11-28,11,4,2,60,562,0,Bronze,Nellore,54,Male,0.36363636363636365
BK00108,CUST0137,STYLIST09,Bridal Package,2025-07-12,12,5,0,180,14512,1,Silver,Nellore,45,Female,0.15384615384615385
BK00109,CUST0401,STYLIST02,Haircut,2025-08-15,17,4,1,30,234,1,Bronze,Nellore,30,Female,0.0
BK00110,CUST0161,STYLIST09,Haircut,2025-05-19,10,0,0,30,200,1,Bronze,Nellore,19,Female,0.09999999999999998
BK00111,CUST0206,STYLIST02,Pedicure,2024-12-24,10,1,0,45,529,1,Bronze,Nellore,54,Female,0.1333333333333333
BK00112,CUST0490,STYLIST02,Pedicure,2025-08-18,11,0,2,45,664,1,Silver,Hyderabad,46,Female,0.0
BK00113,CUST0434,STYLIST09,Hair Spa,2024-09-12,16,3,0,60,688,1,Gold,Nellore,42,Female,0.1428571428571429
BK00114,CUST0157,STYLIST07,Waxing,2025-02-26,19,2,1,30,239,0,Silver,Nellore,45,Female,0.125
BK00115,CUST0450,STYLIST10,Hair Spa,2025-10-08,11,2,2,60,613,1,Bronze,Nellore,49,Female,0.25
BK00116,CUST0004,STYLIST05,Waxing,2024-11-11,17,0,0,30,205,1,Bronze,Nellore,55,Female,0.18181818181818177
BK00117,CUST0081,STYLIST09,Facial,2025-12-27,16,5,14,60,819,1,Bronze,Hyderabad,43,Male,0.0
BK00118,CUST0465,STYLIST01,Haircut,2025-06-26,16,3,3,30,332,1,Silver,Chennai,51,Female,0.1428571428571429
BK00119,CUST0364,STYLIST08,Pedicure,2024-08-15,17,3,2,45,508,1,Gold,Nellore,57,Female,0.11764705882352944
BK00120,CUST0403,STYLIST01,Manicure,2024-06-22,18,5,2,45,487,0,Silver,Chennai,31,Female,0.2727272727272727
BK00121,CUST0035,STYLIST01,Haircut,2025-08-29,15,4,2,30,307,1,Platinum,Nellore,42,Male,0.0714285714285714
BK00122,CUST0199,STYLIST06,Pedicure,2025-08-25,16,0,14,45,406,1,Gold,Nellore,41,Female,0.11111111111111116
BK00123,CUST0024,STYLIST02,Hair Colour,2024-05-05,9,6,3,90,1131,1,Bronze,Chennai,51,Female,0.19999999999999996
BK00124,CUST0035,STYLIST02,Pedicure,2024-11-20,16,2,1,45,483,1,Platinum,Nellore,42,Male,0.0714285714285714
BK00125,CUST0467,STYLIST10,Pedicure,2024-11-05,16,1,0,45,622,0,Bronze,Nellore,62,Male,0.2222222222222222
BK00126,CUST0492,STYLIST09,Haircut,2025-07-09,12,2,2,30,368,1,Bronze,Nellore,44,Female,0.18181818181818177
BK00127,CUST0423,STYLIST08,Hair Spa,2024-08-01,15,3,1,60,920,0,Silver,Nellore,45,Male,0.4
BK00128,CUST0132,STYLIST06,Pedicure,2024-12-01,16,6,1,45,487,1,Bronze,Nellore,55,Female,0.125
BK00129,CUST0326,STYLIST07,Waxing,2024-05-24,13,4,0,30,491,1,Silver,Nellore,20,Male,0.09999999999999998
BK00130,CUST0489,STYLIST04,Hair Spa,2025-01-25,20,5,0,60,620,1,Gold,Bangalore,44,Male,0.21052631578947367
BK00131,CUST0144,STYLIST01,Waxing,2024-08-14,15,2,2,30,305,1,Gold,Chennai,37,Female,0.07692307692307687
BK00132,CUST0348,STYLIST09,Haircut,2024-10-31,13,3,3,30,204,0,Bronze,Nellore,62,Female,0.23076923076923073
BK00133,CUST0170,STYLIST02,Bridal Package,2025-05-05,17,0,0,180,5587,1,Gold,Bangalore,26,Female,0.0
BK00134,CUST0284,STYLIST10,Manicure,2025-11-20,16,3,2,45,391,1,Bronze,Hyderabad,23,Female,0.09090909090909094
BK00135,CUST0145,STYLIST02,Manicure,2025-10-20,13,0,7,45,348,0,Bronze,Nellore,28,Male,0.2222222222222222
BK00136,CUST0477,STYLIST03,Haircut,2024-12-16,18,0,0,30,307,1,Bronze,Bangalore,51,Female,0.0
BK00137,CUST0409,STYLIST05,Hair Spa,2024-05-10,14,4,14,60,567,0,Bronze,Bangalore,47,Male,0.19999999999999996
BK00138,CUST0066,STYLIST03,Waxing,2025-05-05,11,0,1,30,278,1,Silver,Nellore,45,Other,0.19999999999999996
BK00139,CUST0413,STYLIST01,Haircut,2025-10-05,16,6,0,30,356,1,Bronze,Nellore,52,Male,0.17647058823529416
BK00140,CUST0268,STYLIST09,Hair Colour,2024-06-08,15,5,2,90,1465,1,Bronze,Nellore,36,Female,0.09999999999999998
BK00141,CUST0491,STYLIST05,Haircut,2024-07-27,13,5,2,30,216,1,Bronze,Chennai,26,Female,0.2222222222222222
BK00142,CUST0348,STYLIST06,Pedicure,2025-10-16,14,3,2,45,580,1,Bronze,Nellore,62,Female,0.23076923076923073
BK00143,CUST0450,STYLIST02,Haircut,2025-11-21,12,4,0,30,201,1,Bronze,Nellore,49,Female,0.25
BK00144,CUST0466,STYLIST02,Facial,2024-06-26,18,2,7,60,960,1,Silver,Nellore,52,Female,0.125
BK00145,CUST0421,STYLIST03,Haircut,2025-06-23,16,0,2,30,302,1,Gold,Hyderabad,35,Male,0.05555555555555558
BK00146,CUST0197,STYLIST04,Waxing,2025-12-04,17,3,0,30,457,0,Bronze,Hyderabad,29,Male,0.19999999999999996
BK00147,CUST0019,STYLIST05,Facial,2024-05-21,14,1,0,60,1075,1,Silver,Chennai,18,Male,0.25
BK00148,CUST0258,STYLIST05,Waxing,2025-07-08,9,1,7,30,454,1,Silver,Nellore,34,Male,0.17647058823529416
BK00149,CUST0329,STYLIST10,Waxing,2025-03-16,18,6,3,30,217,1,Silver,Nellore,43,Male,0.2222222222222222
BK00150,CUST0487,STYLIST03,Facial,2025-12-10,17,2,1,60,1104,1,Bronze,Nellore,53,Female,0.0
BK00151,CUST0478,STYLIST03,Haircut,2026-01-17,11,5,0,30,345,1,Gold,Nellore,35,Female,0.15384615384615385
BK00152,CUST0227,STYLIST02,Haircut,2025-03-16,15,6,2,30,264,1,Bronze,Chennai,38,Male,0.0
BK00153,CUST0198,STYLIST07,Hair Colour,2025-09-06,9,5,0,90,924,1,Silver,Nellore,39,Male,0.19999999999999996
BK00154,CUST0168,STYLIST07,Hair Colour,2025-09-02,15,1,0,90,977,1,Gold,Nellore,29,Female,0.25
BK00155,CUST0225,STYLIST02,Haircut,2025-01-31,18,4,0,30,289,0,Bronze,Nellore,33,Male,0.1333333333333333
BK00156,CUST0249,STYLIST03,Hair Colour,2025-08-11,10,0,14,90,1043,1,Bronze,Nellore,33,Female,0.07692307692307687
BK00157,CUST0303,STYLIST01,Haircut,2024-07-16,11,1,0,30,292,1,Bronze,Nellore,33,Other,0.0
BK00158,CUST0040,STYLIST10,Haircut,2024-12-20,19,4,3,30,305,1,Silver,Nellore,47,Male,0.25
BK00159,CUST0482,STYLIST05,Hair Spa,2025-11-04,13,1,0,60,528,0,Bronze,Hyderabad,53,Female,0.1875
BK00160,CUST0282,STYLIST03,Haircut,2024-11-26,16,1,1,30,229,1,Bronze,Nellore,47,Female,0.0
BK00161,CUST0491,STYLIST02,Haircut,2025-04-12,16,5,1,30,333,0,Bronze,Chennai,26,Female,0.2222222222222222
BK00162,CUST0486,STYLIST03,Hair Colour,2025-10-02,17,3,7,90,1359,1,Silver,Chennai,22,Female,0.4
BK00163,CUST0154,STYLIST08,Haircut,2025-06-17,18,1,2,30,267,1,Gold,Chennai,46,Female,0.09999999999999998
BK00164,CUST0371,STYLIST06,Manicure,2024-10-06,14,6,1,45,307,1,Bronze,Hyderabad,54,Female,0.5
BK00165,CUST0137,STYLIST02,Haircut,2026-04-26,11,6,0,30,328,1,Silver,Nellore,45,Female,0.15384615384615385
BK00166,CUST0394,STYLIST03,Hair Spa,2025-10-01,17,2,0,60,721,0,Bronze,Nellore,50,Male,0.08333333333333337
BK00167,CUST0087,STYLIST04,Hair Colour,2025-12-24,10,2,1,90,881,1,Bronze,Hyderabad,37,Female,0.125
BK00168,CUST0460,STYLIST10,Facial,2024-05-24,14,4,0,60,917,1,Bronze,Bangalore,27,Female,0.16666666666666663
BK00169,CUST0399,STYLIST03,Hair Spa,2024-11-29,11,4,7,60,907,1,Silver,Chennai,27,Female,0.18181818181818177
BK00170,CUST0406,STYLIST09,Haircut,2025-05-13,11,1,3,30,245,1,Platinum,Hyderabad,40,Female,0.0
BK00171,CUST0393,STYLIST01,Haircut,2025-01-29,19,2,0,30,336,1,Bronze,Hyderabad,45,Female,0.09999999999999998
BK00172,CUST0044,STYLIST07,Pedicure,2024-10-08,10,1,0,45,682,1,Bronze,Hyderabad,41,Female,0.125
BK00173,CUST0037,STYLIST01,Haircut,2025-12-12,17,4,14,30,308,1,Silver,Hyderabad,33,Female,0.07692307692307687
BK00174,CUST0474,STYLIST06,Hair Colour,2024-08-20,19,1,2,90,1268,1,Silver,Hyderabad,53,Female,0.0
BK00175,CUST0348,STYLIST10,Facial,2024-07-26,18,4,0,60,979,1,Bronze,Nellore,62,Female,0.23076923076923073
BK00176,CUST0330,STYLIST06,Waxing,2025-02-05,10,2,3,30,455,1,Bronze,Nellore,42,Male,0.125
BK00177,CUST0372,STYLIST02,Manicure,2026-03-14,13,5,1,45,342,0,Silver,Nellore,34,Female,0.375
BK00178,CUST0455,STYLIST06,Bridal Package,2026-05-02,11,5,2,180,14185,1,Bronze,Hyderabad,33,Male,0.2727272727272727
BK00179,CUST0391,STYLIST01,Haircut,2024-07-02,15,1,0,30,264,1,Bronze,Chennai,35,Female,0.0
BK00180,CUST0083,STYLIST08,Hair Spa,2025-03-17,17,0,0,60,931,1,Silver,Nellore,38,Female,0.08333333333333337
BK00181,CUST0375,STYLIST06,Facial,2025-08-11,17,0,2,60,604,1,Gold,Nellore,45,Female,0.11111111111111116
BK00182,CUST0335,STYLIST03,Hair Spa,2025-11-01,12,5,2,60,700,1,Bronze,Nellore,30,Female,0.0
BK00183,CUST0220,STYLIST07,Haircut,2025-09-20,20,5,3,30,364,1,Bronze,Nellore,49,Female,0.16666666666666663
BK00184,CUST0357,STYLIST03,Pedicure,2024-11-27,17,2,3,45,504,1,Platinum,Nellore,63,Male,0.0
BK00185,CUST0248,STYLIST06,Hair Colour,2024-06-06,16,3,2,90,1374,1,Silver,Chennai,32,Male,0.25
BK00186,CUST0383,STYLIST03,Haircut,2024-12-08,12,6,2,30,394,1,Silver,Nellore,54,Female,0.11111111111111116
BK00187,CUST0126,STYLIST01,Haircut,2025-04-21,12,0,2,30,210,1,Gold,Nellore,48,Female,0.0
BK00188,CUST0133,STYLIST01,Hair Spa,2025-07-11,17,4,3,60,733,1,Platinum,Chennai,22,Male,0.33333333333333337
BK00189,CUST0039,STYLIST07,Pedicure,2026-04-17,12,4,1,45,469,1,Bronze,Bangalore,28,Female,0.0
BK00190,CUST0177,STYLIST09,Waxing,2025-12-01,18,0,0,30,375,1,Gold,Nellore,22,Other,0.18181818181818177
BK00191,CUST0372,STYLIST05,Pedicure,2025-07-22,10,1,7,45,576,1,Silver,Nellore,34,Female,0.375
BK00192,CUST0498,STYLIST10,Manicure,2024-05-30,11,3,3,45,591,1,Bronze,Chennai,39,Male,0.0
BK00193,CUST0488,STYLIST04,Hair Spa,2025-07-12,13,5,0,60,794,0,Bronze,Nellore,35,Female,0.41666666666666663
BK00194,CUST0210,STYLIST10,Waxing,2024-11-16,16,5,0,30,350,1,Silver,Hyderabad,59,Female,0.0
BK00195,CUST0317,STYLIST10,Facial,2026-03-18,16,2,7,60,710,1,Bronze,Nellore,18,Female,0.2222222222222222
BK00196,CUST0138,STYLIST07,Hair Colour,2025-05-04,18,6,0,90,991,1,Gold,Hyderabad,42,Male,0.09090909090909094
BK00197,CUST0050,STYLIST01,Hair Colour,2025-10-15,13,2,7,90,1245,1,Silver,Chennai,50,Male,0.15384615384615385
BK00198,CUST0354,STYLIST10,Haircut,2024-10-07,18,0,3,30,236,0,Gold,Hyderabad,32,Female,0.18181818181818177
BK00199,CUST0270,STYLIST08,Facial,2024-08-08,9,3,2,60,836,1,Gold,Nellore,37,Female,0.0625
BK00200,CUST0287,STYLIST05,Manicure,2025-01-14,15,1,1,45,461,1,Silver,Chennai,32,Male,0.1428571428571429
BK00201,CUST0494,STYLIST06,Haircut,2025-07-31,20,3,1,30,303,1,Gold,Nellore,33,Female,0.0
BK00202,CUST0401,STYLIST08,Haircut,2025-11-08,19,5,2,30,351,1,Bronze,Nellore,30,Female,0.0
BK00203,CUST0402,STYLIST10,Waxing,2025-11-05,9,2,1,30,496,1,Gold,Nellore,23,Female,0.08333333333333337
BK00204,CUST0298,STYLIST06,Haircut,2026-04-18,15,5,1,30,295,1,Silver,Nellore,34,Male,0.08333333333333337
BK00205,CUST0431,STYLIST05,Haircut,2025-12-09,17,1,3,30,332,1,Bronze,Nellore,28,Female,0.08333333333333337
BK00206,CUST0284,STYLIST04,Hair Spa,2025-08-02,11,5,0,60,705,0,Bronze,Hyderabad,23,Female,0.09090909090909094
BK00207,CUST0030,STYLIST01,Haircut,2025-07-30,15,2,2,30,397,1,Silver,Chennai,54,Female,0.0
BK00208,CUST0161,STYLIST06,Pedicure,2025-09-07,13,6,2,45,536,0,Bronze,Nellore,19,Female,0.09999999999999998
BK00209,CUST0080,STYLIST08,Waxing,2026-01-10,15,5,0,30,278,1,Bronze,Nellore,38,Female,0.16666666666666663
BK00210,CUST0150,STYLIST08,Hair Colour,2025-03-14,11,4,2,90,1382,1,Bronze,Nellore,47,Female,0.23076923076923073
BK00211,CUST0461,STYLIST01,Manicure,2025-09-03,15,2,2,45,535,1,Silver,Nellore,36,Female,0.125
BK00212,CUST0224,STYLIST03,Facial,2025-03-30,14,6,3,60,1098,1,Bronze,Hyderabad,55,Female,0.11764705882352944
BK00213,CUST0430,STYLIST06,Manicure,2026-02-17,17,1,3,45,503,1,Bronze,Bangalore,22,Female,0.5384615384615384
